kyear,insol_65N_d172,insol_65N_d233,insol_65N_d172_centered,insol_65N_d233_centered
-5000.0,454.93440400389954,329.69439627717094,-37.90909895710945,14.628682762351843
-4999.0,454.9989608632561,324.4788264318573,-37.84454209775288,9.413112917038234
-4998.0,456.7310208936948,318.79209475796574,-36.112482067314204,3.7263812431466476
-4997.0,460.0328263994353,312.8928020917491,-32.8106765615737,-2.1729114230699906
-4996.0,464.7212366308882,307.0083094863583,-28.122266330120794,-8.05740402846078
-4995.0,470.6202318149823,301.3534157439195,-22.22327114602672,-13.712297770899568
-4994.0,477.50838236398266,296.1429332197718,-15.335120597026332,-18.92278029504729
-4993.0,485.1878240936355,291.6273631452291,-7.655678867373467,-23.43835036959001
-4992.0,493.3678824670425,288.05540512918714,0.5243795060334833,-27.01030838563196
-4991.0,501.771197514036,285.714671227575,8.927694553026981,-29.35104228724407
-4990.0,509.9616961087406,284.8796269069836,17.11819314773163,-30.186086607835477
-4989.0,517.4960594397701,285.83277337385084,24.652556478761085,-29.232940140968253
-4988.0,523.8195406654893,288.80455977119607,30.97603770448029,-26.261153743623026
-4987.0,528.3027867753365,293.9088784620706,35.45928381432748,-21.156835052748477
-4986.0,530.432999190134,301.1170030857503,37.58949622912496,-13.948710429068797
-4985.0,529.7796203768038,310.1194814585364,36.9361174157948,-4.946232056282668
-4984.0,526.2675561819674,320.3455867088504,33.4240532209584,5.279873194031325
-4983.0,520.1419025657356,330.9139495600332,27.29839960472657,15.848236045214094
-4982.0,512.0287079191077,340.7450974399432,19.185204958098666,25.679383925124114
-4981.0,502.8253920674561,348.7837045282894,9.981889106447113,33.71799101347028
-4980.0,493.4562585237634,354.1695655175853,0.612755562754387,39.10385200276619
-4979.0,484.8297547579634,356.4408833058906,-8.013748203045566,41.37516979107153
-4978.0,477.62106298091896,355.5666370556995,-15.22243998009003,40.50092354088042
-4977.0,472.2905100453989,351.8738954603593,-20.552992915610105,36.808181945540184
-4976.0,469.037092042549,345.89095798249014,-23.806410918460017,30.82524446767104
-4975.0,467.85113255264383,338.2100993622697,-24.99237040836516,23.14438584745062
-4974.0,468.606668786761,329.4017585298937,-24.236834174247974,14.336045015074603
-4973.0,471.0725041062484,319.9883518556721,-21.77099885476059,4.922638340852984
-4972.0,475.01799969735697,310.4280824252332,-17.825503263652024,-4.637631089585909
-4971.0,480.1400165977644,301.1326332165424,-12.703486363244622,-13.933080298276707
-4970.0,486.21895524342017,292.5440468940426,-6.624547717588825,-22.5216666207765
-4969.0,492.97544225007823,285.0828662979747,0.13193928906923702,-29.98284721684439
-4968.0,500.1521381744765,279.21894787556823,7.308635213467483,-35.84676563925086
-4967.0,507.3441812417981,275.4211582148689,14.500678280789089,-39.644555299950184
-4966.0,513.9865969171169,274.15591720963147,21.14309395610792,-40.909796305187626
-4965.0,519.3698993922327,275.8460887777677,26.526396431223702,-39.21962473705139
-4964.0,522.5873182315952,280.77143090694074,29.743815270586197,-34.29428260787836
-4963.0,522.7229451211567,288.9415785725549,29.879442160147732,-26.12413494226422
-4962.0,519.1657829130529,299.9754187274288,26.322279952043914,-15.090294787390292
-4961.0,511.8334678940633,312.92014031246305,18.989964933054296,-2.145573202356047
-4960.0,501.3229724899105,326.2727142565305,8.479469528901518,11.207000741711397
-4959.0,488.89675192742834,338.2603753084962,-3.9467510335806537,23.194661793677085
-4958.0,476.1126537084664,347.2228733922559,-16.730849252542612,32.15715987743681
-4957.0,464.4554123384144,352.1537699047618,-28.388090622594575,37.08805638994272
-4956.0,455.0971513525561,352.85565491938024,-37.74635160845287,37.78994140456115
-4955.0,448.7398777378934,349.83523832840405,-44.103625223115614,34.76952481358495
-4954.0,445.6730899138897,343.9718252056609,-47.17041304711927,28.906111690841783
-4953.0,445.83646658346765,336.1826116596813,-47.00703637754134,21.116898144862205
-4952.0,448.9542772109973,327.2485944753833,-43.88922575001169,12.182880960564205
-4951.0,454.6117312358662,317.7715002956927,-38.23177172514278,2.705786780873609
-4950.0,462.4005189158714,308.249944232066,-30.44298404513762,-6.815769282753081
-4949.0,471.8713527104879,299.0894251921208,-20.97215025052111,-15.97628832269828
-4948.0,482.640610656313,290.7071732334362,-10.202892304695979,-24.358540281382886
-4947.0,494.32408720125073,283.5534047843634,1.4805842402417397,-31.512308730455686
-4946.0,506.5178838316282,278.10877015674345,13.674380870619188,-36.95694335807565
-4945.0,518.6936462071235,274.90110366717875,25.8501432461145,-40.16460984764035
-4944.0,530.1586501863899,274.44043586937227,37.31514722538088,-40.62527764544683
-4943.0,539.9752921416552,277.1852250719227,47.13178918064625,-37.88048844289642
-4942.0,547.0305238167032,283.4264115906388,54.187020855694186,-31.6393019241803
-4941.0,550.2558519243779,293.14298700444544,57.41234896336891,-21.92272651037365
-4940.0,548.8856759609804,305.8298766742924,56.0421729999714,-9.235836840526702
-4939.0,542.8617195920716,320.3936864178525,50.018216631062614,5.327972903033412
-4938.0,532.9060340963724,335.1663964799831,40.06253113536343,20.100682965164026
-4937.0,520.4155852683465,348.2413806411314,27.572082307337496,33.175667126312305
-4936.0,507.0251230011452,357.8942837236656,14.181620040136181,42.828570208846486
-4935.0,494.2923711180104,363.0992562254689,1.4488681570014137,48.03354271064978
-4934.0,483.4047006093167,363.6996206455812,-9.438802351692289,48.63390713076211
-4933.0,474.9918858934002,360.21103713440925,-17.8516170676088,45.14532361959016
-4932.0,469.3290078050214,353.56657338489896,-23.514495155987618,38.500859870079864
-4931.0,466.29782872673655,344.7463489906832,-26.54567423427244,29.680635475864108
-4930.0,465.60366730723246,334.6322940265176,-27.239835653776538,19.566580511698533
-4929.0,466.9006968594938,323.98174707170784,-25.942806101515202,8.916033556888749
-4928.0,469.750955600089,313.39114795732416,-23.09254736091998,-1.6745655574949296
-4927.0,473.8194331922971,303.39805781276857,-19.02406976871191,-11.667655702050524
-4926.0,478.7642789534129,294.48502943040563,-14.07922400759611,-20.580684084413463
-4925.0,484.2324893845024,287.1039014065565,-8.611013576506593,-27.96181210826262
-4924.0,489.8835759906127,281.7006780671588,-2.959926970396282,-33.36503544766032
-4923.0,495.2699391149055,278.6699777436197,2.4264361538965318,-36.395735771199384
-4922.0,499.8358151271816,278.315372682551,6.99231216617261,-36.75034083226808
-4921.0,502.921033850605,280.7776546499748,10.077530889596005,-34.28805886484429
-4920.0,503.9175966671476,285.9619834572476,11.074093706138626,-29.10373005757151
-4919.0,502.44603113864974,293.44746432949887,9.60252817764075,-21.618249185320224
-4918.0,498.4918970379039,302.45350841029654,5.648394076894931,-12.612205104522559
-4917.0,492.5537286213023,311.916995796154,-0.2897743397066961,-3.1487177186650683
-4916.0,485.4935445582328,320.66694120146474,-7.349958402776167,5.601227686645643
-4915.0,478.3352735026917,327.7133117277586,-14.508229458317317,12.6475982129395
-4914.0,472.04629091701054,332.4447004342778,-20.797212043998456,17.378986919458725
-4913.0,467.3806860648036,334.72795006344023,-25.462816896205368,19.662236548621138
-4912.0,464.7501932135182,334.79883118285323,-28.09330974749082,19.73311766803414
-4911.0,464.278213387009,333.11632597989103,-28.56528957400002,18.050612465071936
-4910.0,465.8723000861581,330.2121977531289,-26.971202874850917,15.146484238309824
-4909.0,469.2530691968319,326.57949987781853,-23.590433764177078,11.51378636299944
-4908.0,474.1021358526892,322.656695503476,-18.74136710831982,7.5909819886568926
-4907.0,479.9792870925394,318.78345885315787,-12.864215868469614,3.717745338338773
-4906.0,486.5310594676738,315.2590076881189,-6.312443493335195,0.1932941732998188
-4905.0,493.3462997678584,312.2934620957159,0.5027968068494033,-2.7722514191032133
-4904.0,500.05065929967645,310.03689219836485,7.20715633866746,-5.028821316454241
-4903.0,506.3236215311013,308.5896724485225,13.480118570092316,-6.476041066296602
-4902.0,511.8907235016263,307.9736859258105,19.04722054061733,-7.09202758900858
-4901.0,516.5180186207604,308.14329936379505,23.674515659751364,-6.922414151024043
-4900.0,520.0601369416723,308.9873812367637,27.216633980663346,-6.07833227805537
-4899.0,522.4506615886951,310.350177754378,29.60715862768609,-4.715535760441071
-4898.0,523.6973593407812,312.044399711354,30.853856379772196,-3.021313803465091
-4897.0,523.8786629070937,313.8824453637683,31.03515994608472,-1.183268151050811
-4896.0,523.0931853977073,315.6918490236457,30.249682436698322,0.6261355088266214
-4895.0,521.5203441404476,317.3668016820031,28.67684117943861,2.301088167183991
-4894.0,519.2749134532614,318.82961894006905,26.43141049225244,3.763905425249959
-4893.0,516.5116553378444,320.0746702243737,23.66815237683545,5.008956709554582
-4892.0,513.2720264385808,321.11488733469514,20.428523477571844,6.049173819876046
-4891.0,509.6520819195719,322.0035724777488,16.80857895856292,6.937858962929681
-4890.0,505.6859020045179,322.7806278565674,12.84239904350892,7.714914341748283
-4889.0,501.41412638036513,323.46866470415887,8.570623419356139,8.402951189339774
-4888.0,496.8701242954748,324.0456248507656,4.026621334465801,8.979911335946497
-4887.0,492.1356131971421,324.4522054457465,-0.7078897638668877,9.386491930927377
-4886.0,487.3635542922752,324.6043979720025,-5.479948668733812,9.538684457183422
-4885.0,482.68853480107913,324.3721168518629,-10.154968159929865,9.306403337043832
-4884.0,478.3168062350261,323.6451626922573,-14.526696725982902,8.57944917743822
-4883.0,474.492758376382,322.3483723330413,-18.350744584626966,7.282658818222217
-4882.0,471.4004850912521,320.4361582062378,-21.443017869756886,5.370444691418697
-4881.0,469.2486656279991,317.95160721705395,-23.594837333009878,2.8858937022348528
-4880.0,468.1741250822477,314.98679979980136,-24.66937787876128,-0.07891371501773392
-4879.0,468.2282283149263,311.68749244808623,-24.615274646082696,-3.3782210667328627
-4878.0,469.436859108096,308.2516123521087,-23.40664385291302,-6.814101162710415
-4877.0,471.7192533538826,304.8925404980179,-21.124249607126387,-10.173173016801172
-4876.0,474.9407609253186,301.84220742325573,-17.90274203569038,-13.223506091563365
-4875.0,478.9264325720984,299.34944271552195,-13.917070388910588,-15.716270799297149
-4874.0,483.41065553788894,297.6347955241813,-9.432847423120052,-17.430917990637795
-4873.0,488.1180525694237,296.9110658897286,-4.725450391585298,-18.15464762509049
-4872.0,492.70419507480113,297.3417839640608,-0.1393078862078596,-17.72392955075827
-4871.0,496.8134138070783,299.02426545391484,3.969910846069297,-16.04144806090426
